test,arch,platform,passed,status,extra_args,qemu,handler_time,ram_size,rom_size
tests/kernel/threads/dynamic_thread/kernel.threads.dynamic,arc,nsim_em,True,,,False,7.784344911575317,84106,57933
tests/kernel/threads/no-multithreading/kernel.threads.no-multithreading,arc,nsim_em,True,,,False,7.916785955429077,13676,11304
tests/kernel/threads/thread_apis/kernel.threads,arc,nsim_em,True,,,False,8.594550609588623,104509,68849
tests/kernel/threads/thread_init/kernel.threads,arc,nsim_em,True,,,False,7.227980375289917,92986,58153
tests/kernel/tickless/tickless_concept/kernel.tickless,arc,nsim_em,True,,,False,7.418548822402954,33064,21848
tests/kernel/timer/timer_api/kernel.timer,arc,nsim_em,True,,,False,9.166714906692505,81738,63481
tests/kernel/timer/timer_api/kernel.timer.tickless,arc,nsim_em,True,,"CONF_FILE=""prj_tickless.conf""",False,,36228,27112
tests/kernel/timer/timer_monotonic/kernel.timer,arc,nsim_em,True,,,False,19.457680225372314,30116,21440
tests/kernel/workq/work_queue/kernel.workqueue,arc,nsim_em,True,,,False,7.130213737487793,39456,28216
tests/kernel/workq/work_queue/kernel.workqueue.poll,arc,nsim_em,True,,,False,7.100959777832031,42464,31212
tests/kernel/workq/work_queue_api/kernel.workqueue,arc,nsim_em,True,,,False,7.8659703731536865,94030,62145
tests/lib/c_lib/libraries.libc,arc,nsim_em,True,,,False,7.013634443283081,31491,22805
tests/lib/fdtable/libraries.os.fdtable,arc,nsim_em,True,,,False,7.363955974578857,32960,22860
tests/lib/json/libraries.encoding,arc,nsim_em,True,,,False,7.429966449737549,40904,32228
tests/lib/mem_alloc/libraries.libc.minimal,arc,nsim_em,True,,CONF_FILE=prj.conf,False,7.57183051109314,80094,62237
tests/lib/mem_alloc/libraries.libc.newlib,arc,nsim_em,True,,CONF_FILE=prj_newlib.conf,False,7.850872039794922,80182,62325
tests/lib/ringbuffer/libraries.data_structures,arc,nsim_em,True,,,False,7.173954010009766,36393,26592
tests/lib/sprintf/libraries.libc,arc,nsim_em,True,,,False,7.154327869415283,44144,35468
tests/lib/timeutil/libraries.libc.minimal,arc,nsim_em,True,,,False,7.419687747955322,34292,25580
tests/misc/test_build/test_debug,arc,nsim_em,True,,CONF_FILE=debug.conf,False,,32488,23716
tests/portability/cmsis_rtos_v1/portability.cmsis_rtos_v1,arc,nsim_em,True,,,False,8.370185852050781,70940,50624
tests/portability/cmsis_rtos_v2/portability.cmsis_rtos_v2,arc,nsim_em,False,timeout,,False,,,
tests/posix/common/portability.posix,arc,nsim_em,True,,,False,17.740535497665405,88412,54756
tests/posix/common/portability.posix.newlib,arc,nsim_em,True,,,False,17.841343879699707,88260,54604
tests/posix/fs/portability.posix,arc,nsim_em,True,,,False,7.534187316894531,134614,39060
tests/posix/fs/portability.posix.newlib,arc,nsim_em,True,,,False,7.721344947814941,136976,40636
tests/shell/shell,arc,nsim_em,True,,,False,7.918694496154785,58891,47055
tests/subsys/debug/tracing/tracing.openocd,arc,nsim_em,True,,,False,7.073294639587402,18660,9856
