test,arch,platform,passed,status,extra_args,qemu,handler_time,ram_size,rom_size
tests/portability/cmsis_rtos_v1/portability.cmsis_rtos_v1,arc,nsim_em_mpu_stack_guard,True,,,False,7.932528257369995,132876,50752
tests/portability/cmsis_rtos_v2/portability.cmsis_rtos_v2,arc,nsim_em_mpu_stack_guard,True,,,False,7.3731207847595215,182396,67168
tests/posix/common/portability.posix.newlib.nsim,arc,nsim_em_mpu_stack_guard,True,,,False,16.400602340698242,87944,54472
tests/posix/common/portability.posix.nsim,arc,nsim_em_mpu_stack_guard,True,,,False,15.39374327659607,88088,54616
tests/posix/fs/portability.posix,arc,nsim_em_mpu_stack_guard,True,,,False,7.29608941078186,143226,39504
tests/posix/fs/portability.posix.newlib,arc,nsim_em_mpu_stack_guard,True,,,False,7.531353950500488,145596,41088
tests/shell/shell,arc,nsim_em_mpu_stack_guard,True,,,False,7.548754692077637,69219,47175
tests/subsys/debug/tracing/tracing.openocd,arc,nsim_em_mpu_stack_guard,True,,,False,6.693804025650024,18640,9836
tests/subsys/jwt/libraries.encoding,arc,nsim_em_mpu_stack_guard,True,,,False,24.13805079460144,117052,61328
tests/subsys/logging/log_core/logging.log_core,arc,nsim_em_mpu_stack_guard,True,,,False,6.845256090164185,44127,22980
tests/subsys/logging/log_list/logging.log_list,arc,nsim_em_mpu_stack_guard,True,,,False,6.822858810424805,53919,31564
tests/subsys/logging/log_msg/logging.log_msg,arc,nsim_em_mpu_stack_guard,True,,,False,6.788908958435059,56999,34644
tests/subsys/logging/log_output/logging.log_output,arc,nsim_em_mpu_stack_guard,True,,,False,7.00517201423645,54603,31712
tests/subsys/shell/shell_history/shell,arc,nsim_em_mpu_stack_guard,True,,,False,7.09315824508667,65749,43545
tests/ztest/base/testing.ztest.verbose_0,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj_verbose_0.conf,False,6.784324884414673,35952,19108
tests/ztest/base/testing.ztest.verbose_1,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj_verbose_1.conf,False,6.788292169570923,36412,19568
tests/ztest/base/testing.ztest.verbose_2,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj_verbose_2.conf,False,6.822258949279785,36468,19624
tests/ztest/custom_output/testing.ztest.customized_output,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj_customized_output.conf,False,6.625746965408325,35688,18816
tests/ztest/custom_output/testing.ztest.regular_output,arc,nsim_em_mpu_stack_guard,True,,,False,6.6356894969940186,35712,18868
tests/ztest/mock/testing.ztest.mock,arc,nsim_em_mpu_stack_guard,True,,,False,6.122559309005737,37624,20696
